referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
316122,Drew Fischer,240,50,50,0
316136,Ismail Elfath,240,50,50,0
322839,Dario Herrera,120,50,50,0
325229,Florian Exner,240,50,50,0
327871,Andres Merlos,120,50,50,0
329457,Lawrence Visser,360,50,50,0
346012,Jorge Balino,360,50,50,0
353954,Saul Ais Reig,FINAL,100,50,50
365792,Nathan Verboomen,480|FINAL,50,50,0
369764,Bram Van Driessche,120,50,50,0
372760,Horia Gabriel Mladinovici,240,50,50,0
544026,Marcos de Oliveira,360,50,50,0
544624,Florin Andrei,240,50,50,0
554152,Braulio Da Silva Machado,120,50,50,0
559006,Paulo Schleich Vollkopf,480|FINAL,33,33,0
586036,Jan Boterberg,360,50,50,0
594358,Luís Godinho,360,50,50,0
595706,Francesco Fourneau,240,50,50,0
601974,Luca Massimi,360,50,50,0
774129,Benoît Millot,120,50,50,0
780208,Laurens Gerrets,360,50,50,0
782794,Nicolas Lamolina,480|FINAL,50,50,0
785114,François Letexier,240,50,50,0
785119,Aurelien Petit,120,50,50,0
785132,Anzhony Rodrigues,120,50,50,0
785143,Fernando Espinoza,240,50,50,0
785203,Kevin van Damme,360,50,50,0
785204,Antonio Rapuano,120,50,50,0
785240,Halil Umut Meler,240,50,50,0
785273,Bruno Arleu de Araujo,120,50,50,0
785299,Ricardo Montero,480|FINAL,29,29,0
785312,Stefan Ebner,FINAL,50,50,0
785317,Florian Jager,240,16,16,0
785348,Jeremy Stinat,360,50,50,0
785369,Karim Abed,360,50,50,0
785370,Florian Lechner,240,50,50,0
785374,Umit Ozturk,FINAL,50,50,0
785396,Alessandro Dudic,120,50,50,0
785404,Joey Kooij,360,50,50,0
785418,Jose Antonio Sanchez Villalobos,360,42,42,0
785419,Salvador Lax Franco,FINAL,100,50,50
785420,Simone Sozza,FINAL,50,50,0
785462,Matteo Marchetti,480|FINAL,50,50,0
785483,Bert Put,120,50,50,0
785495,Wolfgang Haslberger,FINAL,44,44,0
785522,David Rock,240,100,50,50
785543,Cagdas Altay,120,50,50,0
785583,Romain Lissorgue,480|FINAL,50,50,0
785691,Sivert Amland,FINAL,50,50,0
785710,Lothar D'hondt,360,50,50,0
785718,Fredrik Klitte,240,50,50,0
785741,Marian Barbu,360,50,50,0
785775,Sandi Putros,FINAL,100,50,50
785779,Morten Krogh,480|FINAL,50,50,0
785808,Eric Wattellier,240,50,50,0
785811,John Brooks,360,50,50,0
785812,Oliver Yates,480|FINAL,50,50,0
785840,John Busby,360,50,50,0
785845,Vitor Ferreira,FINAL,50,50,0
785849,Konrad Oldhafer,360,13,13,0
785861,Jacob A. Sundberg,360,50,50,0
785873,Antonio Nobre,120,50,50,0
785879,Sander van der Eijk,FINAL,100,50,50
785882,Carlos Macedo,120,50,50,0
785884,Granit Maqedonci,240,50,50,0
785885,Victor Wolf,FINAL,50,50,0
785906,Rafael Sanchez Lopez,480|FINAL,50,50,0
785914,Savio Pereira Sampaio,FINAL,100,50,50
785926,Giovanni Ayroldi,240,50,50,0
785932,Marta Huerta de Aza,360,39,39,0
785933,Desiree Grundbacher,240,22,22,0
785960,Mohammad Usman Aslam,480|FINAL,50,50,0
785971,Marius Grotta,360,50,50,0
785998,Neil Hair,480|FINAL,50,50,0
785999,Thomas Bramall,FINAL,50,50,0
786002,Anthony Backhouse,120,50,50,0
786004,Sam Allison,FINAL,100,50,50
786008,Tom Nield,FINAL,50,50,0
786032,Kadir Saglam,360,50,50,0
786036,Bruno Vieira,120,50,50,0
786057,Pierre Gaillouste,480|FINAL,50,50,0
786059,Ali Sansalan,120,50,50,0
786073,Stavros Tsimenteridis,FINAL,32,32,0
786096,Allard Lindhout,120,50,50,0
786134,Mads-Kristoffer Kristoffersen,360,50,50,0
786147,Stephen Martin,FINAL,50,50,0
786178,Hernan Mastrangelo,240,50,50,0
786183,Michael Espinoza,480|FINAL,50,50,0
786236,Konstantinos Tsetsilas,360,21,21,0
786241,Sven Wolfensberger,FINAL,50,50,0
786258,Pablo Echavarria,480|FINAL,50,50,0
786264,Adam Ladeback,120,50,50,0
786274,Pablo Dovalo,480|FINAL,50,50,0
786280,Rubiel Vazquez,480|FINAL,50,50,0
786288,Alain Sadikovski,120,26,26,0
786291,Daniel Pfister,120,32,32,0
786304,Patrick Schwengers,480|FINAL,32,32,0
786312,Claudio Filipe Ruivo Pereira,120,50,50,0
786314,Faouzi Benchabane,240,50,50,0
786331,Robin Braun,480|FINAL,50,50,0
786332,Scott Oldham,FINAL,100,50,50
786335,Alex Chilowicz,120,50,50,0
786353,Mikkel Redder,480|FINAL,50,50,0
786354,Yigit Arslan,FINAL,50,50,0
786366,Matteo Marcenaro,480|FINAL,50,50,0
786376,Jon Ander Gonzalez Esteban,360,50,50,0
786379,Jose Luis Guzman Mansilla,360,50,50,0
786389,Lars Erbst,360,29,29,0
786393,Alpaslan Sen,120,48,48,0
786404,Richard Hempel,480|FINAL,40,40,0
786428,Emre Kargin,240,50,50,0
786429,Adnan Deniz Kayatepe,120,50,50,0
786435,Yasin Kol,FINAL,50,50,0
786439,Cihan Aydin,120,50,50,0
786469,Jeremie Pignard,360,50,50,0
786475,Joseph Dickerson,360,50,50,0
786481,Stan Teuben,FINAL,50,50,0
786489,Clay Ruperti,120,50,50,0
786501,Alan Dale,120,8,8,0
786537,Andrea Colombo,120,50,50,0
786577,Augusto Menendez,120,50,50,0
786581,Micke Palomino,480|FINAL,50,50,0
786583,Kevin Ortega,360,50,50,0
786602,Jesus Cartagena,360,50,50,0
786627,Joel Alarcon,360,50,50,0
786639,David Huaman,240,64,32,32
786640,Edwin Ordonez,240,50,50,0
786645,Marc Nagtegaal,360,50,50,0
786658,Luca Piccolo,360,50,50,0
786682,Luca Cibelli,360,50,50,0
786698,Denis da Silva Ribeiro Serafim,240,50,50,0
786706,Daniel Higraff,120,50,50,0
786716,Svein Tore Sinnes,FINAL,50,50,0
786724,Ramy Touchan,480|FINAL,50,50,0
786725,Victor Rivas,FINAL,50,50,0
786776,Bastien Dechepy,120,50,50,0
786783,Arnes Talic,120,40,40,0
786788,Joakim Ostling,360,50,50,0
786789,Achim Untergasser,120,6,6,0
786791,Marc Philip Eckermann,360,11,11,0
786805,Felix Weller,240,1,1,0
786807,Matt Donohue,480|FINAL,50,50,0
786808,Fabio Melo,240,50,50,0
786809,Gustavo Correia,240,50,50,0
786813,Atilla Karaoglan,120,50,50,0
786814,Pedro Ramalho,480|FINAL,50,50,0
786822,Abraham Dominguez Cervantes,120,19,19,0
786829,Burak Demirkiran,120,10,10,0
786830,Nazareno Arasa,480|FINAL,50,50,0
786859,Roberto Perez Gutierrez,480|FINAL,50,50,0
786860,Jair Antonio Maruffo,360,50,50,0
786870,Omer Faruk Gultekin,480|FINAL,23,23,0
