Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Francesco Dell'Aquila,M,Vis Pesaro,61,6.4,0,0,0.17,0.06,2,0,0,20,1,0,0,33,1,0,0,2,0,0,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Pablo Vitali,M,Pescara,90,7.1,0,1,0.58,0.08,5,0,1,41,1,1,0,67,4,0,2,12,4,3,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Ivan Mario Saio,G,Pescara,90,7.7,0,0,0,0,0,0,0,20,0,0,0,21,0,0,2,0,0,0,0,0,0,1
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Leonardo Graziani ,M,Pescara,8,6.7,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Matteo Motta,D,Pescara,30,6.8,0,0,0,0,0,0,0,15,0,0,0,18,0,0,1,1,0,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Federico Tavernaro,M,Vis Pesaro,61,7.5,0,0,0,0.06,0,0,0,18,1,0,0,28,2,0,0,6,1,2,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Pietro Giorgini,D,Vis Pesaro,90,6,0,0,0.06,0,1,0,1,82,0,0,0,112,0,0,1,3,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Giovanni Gambino,F,Vis Pesaro,38,6.3,0,0,0,0,0,0,0,7,1,0,0,12,0,0,0,2,0,0,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Giorgio Bailo,D,Vis Pesaro,90,6.2,0,0,0,0.01,1,0,0,42,1,0,0,62,3,0,2,10,0,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Nicolò Lari,F,Vis Pesaro,24,6.5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Nicolò Berengo,M,Vis Pesaro,74,6.7,0,0,0.23,0,1,1,0,30,0,0,0,36,0,0,3,1,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Gioacchino Barranco,D,Vis Pesaro,90,6.1,0,0,0,0,0,0,0,25,0,0,0,39,0,0,1,7,1,3,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Christian D'Errico,M,Pescara,24,6.8,0,0,0,0.12,0,0,0,14,1,0,0,17,0,0,1,2,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Alessandro Carnaroli,D,Vis Pesaro,24,6.7,0,0,0,0,0,0,0,24,0,0,0,33,0,0,0,5,1,2,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Simone Magnaghi,F,Campobasso FC,18,6.7,0,0,0,0.08,0,0,0,5,1,0,0,7,0,0,0,2,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Davide Agazzi,M,Campobasso FC,81,8,0,0,0,0.18,0,0,0,54,1,0,0,76,2,0,0,8,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Alfredo Bifulco,F,Campobasso FC,89,6.4,0,0,0.25,0.1,3,1,0,20,1,0,0,35,1,0,1,1,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Mario Gargiulo,M,Campobasso FC,90,7.5,0,1,0.42,0.37,3,1,0,55,2,1,1,82,1,0,0,6,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Gabriele Morelli,D,Pianese,62,5.8,0,0,0,0,0,0,0,15,0,0,0,25,0,0,2,3,0,1,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Isaac Prado,F,Campobasso FC,81,7.8,2,0,1.82,0,5,2,1,22,0,0,1,37,0,0,0,7,2,0,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Luca Fabrizi,F,Pianese,27,6.2,0,0,0.53,0,3,1,0,6,0,0,0,14,0,0,1,3,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Gabriele Corbo,D,Campobasso FC,10,6.6,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Matteo Stoppa,M,Campobasso FC,78,7.4,0,0,0.79,0.6,7,1,1,34,3,1,0,58,4,0,0,6,0,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Federico Papini,D,Campobasso FC,90,7.2,0,0,0,0,0,0,0,47,0,0,0,65,0,0,2,10,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Andrea Spurio,G,Campobasso FC,90,7.2,0,0,0,0,0,0,0,27,0,0,0,29,0,0,0,0,0,0,0,0,0,3
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Lorenzo Peli,F,Pianese,27,6.4,0,0,0,0,0,0,0,14,0,0,0,22,0,0,0,1,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Roberto Pierno,M,Campobasso FC,90,6.8,0,0,0.1,0.11,1,0,0,32,1,0,0,52,1,0,1,8,0,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Lorenzo Masetti,D,Pianese,90,5.9,0,0,0,0,0,0,0,21,0,0,0,36,0,0,4,2,0,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Christian Celesia,D,Campobasso FC,90,7.4,0,0,0,0,0,0,0,54,0,0,0,67,1,0,2,6,2,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Matteo Gorelli,D,Pianese,37,6.8,0,0,0,0,0,0,0,14,0,0,0,17,0,0,1,2,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Mattia Capoferri,D,Campobasso FC,90,6.9,0,0,0,0,1,0,0,35,0,0,0,48,1,0,2,3,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Michele Pezzolato,G,Pianese,90,7.8,0,0,0,0,0,0,0,20,0,0,0,26,0,0,0,0,0,0,0,0,0,4
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Simone Ianesi,F,Pianese,72,6.3,0,0,0,0.17,0,0,0,11,1,0,0,24,1,0,1,6,3,3,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Nicola Pintus,D,Pianese,62,7.2,0,0,0,0,0,0,0,33,1,0,0,64,0,0,6,1,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Francesco Chesti,D,Pianese,90,6.4,0,0,0,0,0,0,0,43,0,0,0,55,0,0,0,8,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Campobasso FC vs Pianese,23/08/2026,Lorenzo Vigiani,M,Pianese,86,6.2,0,0,0.04,0,1,1,0,17,0,0,0,24,1,0,1,3,1,0,0,0,0,0
