ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
33381,Papu Gómez,https://api.sofascore.com/api/v1/player/33381/image,Argentina,14/02/1988,M,165,Right,535000
33541,Thiago Silva,https://api.sofascore.com/api/v1/player/33541/image,Brazil,21/09/1984,D,181,Right,465000
33567,Alexander Domínguez,https://api.sofascore.com/api/v1/player/33567/image,Ecuador,,G,195,,
33628,Alain Baroja,https://api.sofascore.com/api/v1/player/33628/image,Venezuela,,G,182,,
33829,Alfonso Parot,https://api.sofascore.com/api/v1/player/33829/image,Chile,,D,180,,
33902,Danny Welbeck,https://api.sofascore.com/api/v1/player/33902/image,England,25/11/1990,F,185,Right,3100000
34006,Pedro Gallese,https://api.sofascore.com/api/v1/player/34006/image,Peru,,G,189,,
34120,Alexis Sánchez,https://api.sofascore.com/api/v1/player/34120/image,Chile,18/12/1988,F,169,Right,1300000
34141,Marcelo Lomba,https://api.sofascore.com/api/v1/player/34141/image,Brazil,17/12/1986,G,187,Right,68000
34142,Paulo Victor,https://api.sofascore.com/api/v1/player/34142/image,Brazil,11/01/1987,G,187,Left,55000
34168,Paulo Sérgio,https://api.sofascore.com/api/v1/player/34168/image,Brazil,10/06/1989,F,181,Right,190000
34422,Boris Sagredo,https://api.sofascore.com/api/v1/player/34422/image,Chile,,M,173,,
34705,Hulk,https://api.sofascore.com/api/v1/player/34705/image,Brazil,24/07/1986,F,180,Left,1100000
34711,Garath McCleary,https://api.sofascore.com/api/v1/player/34711/image,Jamaica,,M,188,,
34853,Shinji Kagawa,https://api.sofascore.com/api/v1/player/34853/image,Japan,,M,175,,
34984,Yutaka Yoshida,https://api.sofascore.com/api/v1/player/34984/image,Japan,,D,168,,
35166,Thomas Müller,https://api.sofascore.com/api/v1/player/35166/image,Germany,,M,186,,
35208,Tjaronn Chery,https://api.sofascore.com/api/v1/player/35208/image,Suriname,03/06/1988,F,170,Left,440000
35219,Daniel Wass,https://api.sofascore.com/api/v1/player/35219/image,Denmark,30/05/1989,M,181,Right,360000
35402,Alexander Büttner,https://api.sofascore.com/api/v1/player/35402/image,Netherlands,,D,174,,
35612,Axel Witsel,https://api.sofascore.com/api/v1/player/35612/image,Belgium,11/01/1989,M,186,Right,1300000
35621,Hernán Rengifo,https://api.sofascore.com/api/v1/player/35621/image,Peru,,F,183,,
35656,Etrit Berisha,https://api.sofascore.com/api/v1/player/35656/image,Albania,09/03/1989,G,194,Left,170000
35769,Arild Østbø,https://api.sofascore.com/api/v1/player/35769/image,Norway,,G,183,,
36048,Tobias Sana,https://api.sofascore.com/api/v1/player/36048/image,Sweden,,F,173,,
36077,Nahir Besara,https://api.sofascore.com/api/v1/player/36077/image,Sweden,24/02/1991,M,181,Right,600000
36210,Patrick Mortensen,https://api.sofascore.com/api/v1/player/36210/image,Denmark,12/07/1989,F,190,Both,210000
36316,Petteri Pennanen,https://api.sofascore.com/api/v1/player/36316/image,Finland,,M,181,,
36810,Marcus Sandberg,https://api.sofascore.com/api/v1/player/36810/image,Sweden,,G,191,,
36982,Damián Suárez,https://api.sofascore.com/api/v1/player/36982/image,Uruguay,,D,172,,
37006,Eduardo Vargas,https://api.sofascore.com/api/v1/player/37006/image,Chile,,F,175,,
37096,Péter Gulácsi,https://api.sofascore.com/api/v1/player/37096/image,Hungary,05/05/1990,G,190,Right,970000
37151,Henrikh Mkhitaryan,https://api.sofascore.com/api/v1/player/37151/image,Armenia,20/01/1989,M,178,Both,2900000
