Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - Udinese vs Juventus","1ST","20/08/2023","1","0","45%","0.33","0","8","1","1","0","205","7","5","1","0","1","0","3","4","2","6","0","0","0","0","1","1","178","3","23","0","8/19 (42%)","0/8 (0%)","50%","4","17/34 (50%)","3/6 (50%)","5/11 (45%)","43%","7","5","31","7","0","1","0","0","0","0","4"
"Visita - Udinese vs Juventus","1ST","20/08/2023","1","3","55%","1.74","2","8","1","2","0","257","10","3","2","0","4","0","2","2","5","3","2","0","0","0","1","3","213","7","26","0","8/24 (33%)","3/5 (60%)","50%","3","17/34 (50%)","3/6 (50%)","4/8 (50%)","70%","10","2","29","9","0","1","0","0","0","0","7"
"Local - Udinese vs Juventus","2ND","20/08/2023","1","0","52%","0.67","2","10","0","6","0","224","4","5","0","0","4","0","3","3","4","6","0","2","1","0","1","2","200","14","34","0","14/19 (74%)","6/16 (38%)","35%","4","11/31 (35%)","4/12 (33%)","2/9 (22%)","75%","4","2","25","3","0","0","0","0","0","0","2"
"Visita - Udinese vs Juventus","2ND","20/08/2023","1","0","48%","0.11","0","1","4","1","0","219","11","6","1","0","0","0","1","0","1","0","0","0","0","0","1","1","179","2","14","0","9/21 (43%)","2/3 (67%)","65%","3","20/31 (65%)","8/12 (67%)","5/6 (83%)","64%","11","3","20","10","0","4","0","0","0","0","7"
"Local - Torino vs Cagliari","ALL","21/08/2023","1","0","57%","0.96","1","11","2","8","8","447","10","11","1","0","2","0","6","3","7","4","0","1","0","0","1","1","354","22","69","0","34/68 (50%)","3/20 (15%)","50%","10","32/66 (48%)","21/41 (51%)","11/19 (58%)","60%","10","8","64","14","0","2","0.48","0","0","0","11"
"Visita - Torino vs Cagliari","ALL","21/08/2023","1","0","43%","0.39","0","8","2","3","12","338","18","8","1","0","2","0","5","1","4","4","0","0","0","0","2","2","243","17","58","0","27/78 (35%)","1/14 (7%)","50%","10","34/66 (52%)","20/41 (49%)","8/8 (100%)","72%","18","10","76","14","0","2","0.47","0","0","0","10"
"Local - Torino vs Cagliari","1ST","21/08/2023","1","0","61%","0.69","1","5","1","5","0","234","5","4","1","0","1","0","4","0","4","1","0","1","0","0","0","1","191","12","34","0","18/33 (55%)","2/11 (18%)","55%","6","14/32 (44%)","15/21 (71%)","5/8 (63%)","100%","5","3","31","5","0","1","0","0","0","0","7"
"Visita - Torino vs Cagliari","1ST","21/08/2023","1","0","39%","0.24","0","5","1","1","0","151","9","4","0","0","1","0","4","0","2","3","0","0","0","0","2","1","109","7","26","0","14/42 (33%)","0/5 (0%)","45%","5","18/32 (56%)","6/21 (29%)","5/5 (100%)","78%","9","2","37","9","0","1","0","0","0","0","5"
"Local - Torino vs Cagliari","2ND","21/08/2023","1","0","53%","0.26","0","6","1","3","0","213","5","7","0","0","1","0","2","3","3","3","0","0","0","0","1","0","163","10","35","0","16/35 (46%)","1/9 (11%)","44%","4","18/34 (53%)","6/20 (30%)","6/11 (55%)","20%","5","5","33","9","0","1","0","0","0","0","4"
"Visita - Torino vs Cagliari","2ND","21/08/2023","1","0","47%","0.14","0","3","1","2","0","187","9","4","1","0","1","0","1","1","2","1","0","0","0","0","0","1","134","10","32","0","13/36 (36%)","1/9 (11%)","56%","5","16/34 (47%)","14/20 (70%)","3/3 (100%)","67%","9","8","39","5","0","1","0","0","0","0","5"
"Local - Bologna vs AC Milan","ALL","21/08/2023","1","0","53%","1.06","0","17","3","3","10","543","21","3","2","0","5","2","7","5","13","4","0","0","1","0","2","2","481","13","59","0","33/44 (75%)","5/16 (31%)","49%","6","27/62 (44%)","11/16 (69%)","3/10 (30%)","38%","21","4","66","11","0","3","-0.38","0","0","0","4"
"Visita - Bologna vs AC Milan","ALL","21/08/2023","1","2","47%","0.90","2","9","5","6","4","481","13","10","2","0","6","1","1","2","6","3","1","1","0","0","2","2","409","13","39","0","11/33 (33%)","4/11 (36%)","51%","10","35/62 (56%)","5/16 (31%)","12/23 (52%)","62%","13","9","63","11","0","5","0.27","0","0","0","11"
"Local - Bologna vs AC Milan","1ST","21/08/2023","1","0","55%","0.50","0","9","1","1","0","270","7","1","1","0","1","1","5","3","7","2","0","0","0","0","1","0","234","8","25","0","13/21 (62%)","5/8 (63%)","45%","4","10/25 (40%)","5/8 (63%)","2/3 (67%)","57%","7","1","30","6","0","1","0","0","0","0","2"
"Visita - Bologna vs AC Milan","1ST","21/08/2023","1","2","45%","0.53","1","6","1","3","0","219","5","6","0","0","3","0","1","2","5","1","1","0","0","0","2","1","184","7","20","0","3/11 (27%)","4/7 (57%)","55%","4","15/25 (60%)","3/8 (38%)","4/7 (57%)","80%","5","6","29","5","0","1","0","0","0","0","6"
"Local - Bologna vs AC Milan","2ND","21/08/2023","1","0","51%","0.57","0","8","2","2","0","273","14","2","1","0","4","1","2","2","6","2","0","0","1","0","1","2","247","5","34","0","20/23 (87%)","0/8 (0%)","51%","2","17/37 (46%)","6/8 (75%)","1/7 (14%)","29%","14","3","36","5","0","2","0","0","0","0","2"
"Visita - Bologna vs AC Milan","2ND","21/08/2023","1","0","49%","0.37","1","3","4","3","0","262","8","4","2","0","3","1","0","0","1","2","0","1","0","0","0","1","225","6","19","0","8/22 (36%)","0/4 (0%)","49%","6","20/37 (54%)","2/8 (25%)","8/16 (50%)","50%","8","3","34","6","0","4","0","0","0","0","5"
"Local - Frosinone vs Atalanta","ALL","26/08/2023","2","2","37%","0.72","1","13","5","3","10","372","13","10","1","0","5","0","4","4","7","6","1","0","0","0","0","1","270","21","51","0","19/63 (30%)","2/8 (25%)","50%","9","31/62 (50%)","22/43 (51%)","8/15 (53%)","46%","13","15","69","27","0","5","-0.04","0","0","0","10"
"Visita - Frosinone vs Atalanta","ALL","26/08/2023","2","1","63%","1.65","4","18","3","7","10","622","16","9","2","0","6","0","8","4","12","6","0","4","0","0","2","1","522","28","54","0","18/41 (44%)","5/29 (17%)","50%","9","31/62 (50%)","21/43 (49%)","6/10 (60%)","31%","16","9","68","8","0","3","-1.07","0","0","0","8"
"Local - Frosinone vs Atalanta","1ST","26/08/2023","2","2","45%","0.48","1","7","0","1","0","246","3","6","1","0","4","0","1","2","4","3","1","0","0","0","0","1","188","10","29","0","8/31 (26%)","1/4 (25%)","50%","4","16/31 (52%)","8/17 (47%)","7/10 (70%)","67%","3","9","35","10","0","0","0","0","0","0","4"
"Visita - Frosinone vs Atalanta","1ST","26/08/2023","2","0","55%","0.42","2","5","2","0","0","288","7","5","2","0","0","0","3","2","3","2","0","2","0","0","0","1","230","11","25","0","9/24 (38%)","1/9 (11%)","50%","2","15/31 (48%)","9/17 (53%)","3/4 (75%)","43%","7","6","36","4","0","2","0","0","0","0","3"
"Local - Frosinone vs Atalanta","2ND","26/08/2023","2","0","27%","0.23","0","6","5","2","0","126","10","4","0","0","1","0","3","2","3","3","0","0","0","0","0","0","82","11","22","0","11/32 (34%)","1/4 (25%)","51%","5","15/31 (48%)","14/26 (54%)","1/5 (20%)","40%","10","6","34","17","0","5","0","0","0","0","6"
"Visita - Frosinone vs Atalanta","2ND","26/08/2023","2","1","73%","1.23","2","13","1","7","0","334","9","4","0","0","6","0","5","2","9","4","0","2","0","0","2","0","292","17","29","0","9/17 (53%)","4/20 (20%)","49%","7","16/31 (52%)","12/26 (46%)","3/6 (50%)","22%","9","3","32","4","0","1","0","0","0","0","5"
"Local - Monza vs Empoli","ALL","26/08/2023","2","2","54%","1.99","3","20","6","6","14","486","25","7","1","0","5","1","9","6","11","9","1","2","1","27","1","2","413","27","62","109/148 (74%)","33/57 (58%)","12/22 (55%)","47%","4","37/72 (51%)","8/23 (35%)","5/16 (31%)","52%","25","7","49","16","1","6","1.07","0","2","1","12"
"Visita - Monza vs Empoli","ALL","26/08/2023","2","0","46%","0.97","1","18","3","5","7","417","15","13","2","0","6","1","8","4","12","6","0","1","1","27","0","1","343","19","37","78/98 (80%)","22/46 (48%)","4/14 (29%)","53%","17","35/72 (49%)","15/23 (65%)","7/15 (47%)","60%","15","3","51","15","0","3","-1.32","0","0","0","12"
"Local - Monza vs Empoli","1ST","26/08/2023","2","1","52%","0.74","0","9","0","3","0","240","11","5","1","0","3","1","3","3","4","5","0","0","0","0","1","1","204","14","31","0","15/26 (58%)","7/13 (54%)","53%","2","20/35 (57%)","4/10 (40%)","4/7 (57%)","45%","11","3","20","3","0","0","0","0","0","0","4"
"Visita - Monza vs Empoli","1ST","26/08/2023","2","0","48%","0.16","0","4","2","2","0","226","5","6","1","0","0","0","3","1","3","1","0","0","1","0","0","1","189","6","22","0","13/22 (59%)","1/5 (20%)","47%","6","15/35 (43%)","6/10 (60%)","4/9 (44%)","60%","5","1","26","12","0","2","0","0","0","0","4"
"Local - Monza vs Empoli","2ND","26/08/2023","2","1","56%","1.25","3","11","6","3","0","246","14","2","0","0","2","0","6","3","7","4","1","2","1","0","0","1","209","13","31","0","18/31 (58%)","5/9 (56%)","42%","2","17/37 (46%)","4/13 (31%)","1/9 (11%)","57%","14","4","29","13","0","6","0","0","0","0","8"
"Visita - Monza vs Empoli","2ND","26/08/2023","2","0","44%","0.81","1","14","1","3","0","191","10","7","1","0","6","1","5","3","9","5","0","1","0","0","0","0","154","13","15","0","9/24 (38%)","3/9 (33%)","58%","11","20/37 (54%)","9/13 (69%)","3/6 (50%)","60%","10","2","25","3","0","1","0","0","0","0","8"
"Local - AC Milan vs Torino","ALL","26/08/2023","2","4","59%","3.04","4","17","0","2","13","498","10","15","2","0","7","0","8","2","10","7","4","0","3","0","5","1","431","11","41","0","20/40 (50%)","4/11 (36%)","55%","9","33/62 (53%)","13/22 (59%)","9/12 (75%)","50%","10","9","53","5","0","0","-0.72","0","0","0","7"
"Visita - AC Milan vs Torino","ALL","26/08/2023","2","1","41%","0.48","0","8","3","1","16","335","12","13","3","0","1","0","6","1","3","5","0","0","1","0","3","2","272","10","47","0","24/47 (51%)","4/13 (31%)","45%","3","29/62 (47%)","9/22 (41%)","5/12 (42%)","50%","12","8","51","16","0","3","-0.72","0","0","0","7"
"Local - AC Milan vs Torino","1ST","26/08/2023","2","3","60%","1.95","3","11","0","1","0","245","4","8","1","0","4","0","6","1","5","6","3","0","2","0","4","1","210","9","20","0","6/14 (43%)","4/9 (44%)","60%","4","17/31 (55%)","8/11 (73%)","6/7 (86%)","50%","4","6","27","3","0","0","0","0","0","0","2"
"Visita - AC Milan vs Torino","1ST","26/08/2023","2","1","40%","0.37","0","5","1","0","0","163","5","6","1","0","1","0","3","1","2","3","0","0","1","0","1","0","125","5","23","0","9/24 (38%)","3/6 (50%)","40%","1","14/31 (45%)","3/11 (27%)","3/6 (50%)","60%","5","5","24","12","0","1","0","0","0","0","4"
"Local - AC Milan vs Torino","2ND","26/08/2023","2","1","59%","1.09","1","6","0","1","0","253","6","7","1","0","3","0","2","1","5","1","1","0","1","0","1","0","221","2","21","0","14/26 (54%)","0/2 (0%)","50%","5","16/31 (52%)","5/11 (45%)","3/5 (60%)","50%","6","3","26","2","0","0","0","0","0","0","5"
"Visita - AC Milan vs Torino","2ND","26/08/2023","2","0","41%","0.11","0","3","2","1","0","172","7","7","2","0","0","0","3","0","1","2","0","0","0","0","2","2","147","5","24","0","15/23 (65%)","1/7 (14%)","50%","2","15/31 (48%)","6/11 (55%)","2/6 (33%)","43%","7","3","27","4","0","2","0","0","0","0","3"
"Local - Hellas Verona vs AS Roma","ALL","26/08/2023","2","2","28%","0.75","1","5","6","1","17","206","12","11","1","1","3","0","1","1","4","1","1","0","0","0","0","0","134","15","45","0","34/63 (54%)","1/5 (20%)","42%","8","29/74 (39%)","23/50 (46%)","6/14 (43%)","75%","12","5","45","36","0","6","0.63","0","0","0","14"
