referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
785143,Fernando Espinoza,Argentina,50,2026-08-23,2022-10-01,4.78,0.24,52.6,20.64,30.33,1.62,3.4,0.0,155,Liga Profesional Argentina,fernando espinoza,240
788244,Filip Dujic,Canada,50,2026-08-19,2023-03-25,3.94,0.24,44.2,25.32,37.84,1.22,2.96,0.0,242,MLS,filip dujic,240
789588,Flavio Jesus,Portugal,21,2026-08-15,2024-08-25,4.67,0.33,53.33,28.62,28.62,1.33,3.67,0.0,239,Liga Portugal 2,flavio jesus,240
787588,Flavio Lima,Portugal,50,2026-08-08,2020-09-19,5.58,0.28,61.4,29.78,24.12,2.3,3.56,0.0,239,Liga Portugal 2,flavio lima,240
789031,Flavio Miguel Gomes Azevedo Duarte,Portugal,22,2026-08-29,2023-08-19,5.18,0.32,58.18,31.95,29.77,1.77,3.73,0.0,239,Liga Portugal 2,flavio miguel gomes azevedo duarte,240
243629,Flavio Rodrigues De Souza,Brazil,50,2026-08-14,2024-04-14,5.58,0.32,62.2,26.61,26.8,2.14,3.76,0.0,325|390,Brasileirão Série A|Brasileirão Série B,flavio rodrigues de souza,240
78823,Florent Batta,France,50,2026-05-02,2023-05-27,3.96,0.18,43.2,27.1,30.13,1.72,2.42,0.0,34|182,Ligue 1|Ligue 2,florent batta,240
123311,Florian Badstubner,Germany,50,2026-08-29,2023-04-23,3.34,0.16,36.6,22.18,38.44,1.04,2.46,0.0,35|44,2. Bundesliga|Bundesliga,florian badstubner,240
325229,Florian Exner,Germany,50,2026-08-08,2023-03-18,4.6,0.2,50.0,23.0,28.4,1.8,3.0,0.0,35|44,2. Bundesliga|Bundesliga,florian exner,240
785317,Florian Jager,Austria,16,2026-08-15,2022-10-23,4.62,0.25,51.25,20.62,27.25,1.88,3.0,0.0,45,Austrian Bundesliga,florian jager,240
785370,Florian Lechner,Germany,50,2026-08-16,2020-12-16,4.5,0.18,48.6,23.54,32.84,1.64,3.04,0.0,44,2. Bundesliga,florian lechner,240
544624,Florin Andrei,Romania,50,2026-08-10,2022-12-17,4.04,0.22,44.8,23.78,27.29,1.74,2.52,0.0,152,Liga I,florin andrei,240
316018,Fotis Bazakos,USA,50,2026-08-22,2022-08-17,4.16,0.12,44.0,23.04,27.9,1.74,2.54,0.0,242,MLS,fotis bazakos,240
595706,Francesco Fourneau,Italy,50,2026-08-29,2023-08-19,4.86,0.2,52.6,27.48,26.04,1.94,3.12,0.0,23|53,Serie A|Serie B,francesco fourneau,240
791297,Franciel dos Santos Martins,Brazil,1,2026-08-23,2026-08-23,1.0,0.0,10.0,29.0,40.0,1.0,0.0,0.0,390,Brasileirão Série B,franciel dos santos martins,240
785114,François Letexier,France,50,2026-08-29,2023-04-16,4.0,0.28,45.6,22.98,31.92,1.48,2.8,0.0,34|182,Ligue 1|Ligue 2,francois letexier,240
790525,Frederik Svendsen,Denmark,15,2026-08-30,2025-08-01,3.47,0.13,37.33,19.53,40.47,0.93,2.67,0.0,39,Danish Superliga,frederik svendsen,240
785718,Fredrik Klitte,Sweden,50,2026-08-29,2024-04-01,4.14,0.08,43.0,27.78,31.12,1.38,2.84,0.0,40,Allsvenskan,fredrik klitte,240
788626,Gabriel Henry,France,2,2026-08-28,2026-08-14,2.0,0.0,20.0,29.0,72.5,0.0,2.0,0.0,182,Ligue 2,gabriel henry,240
789860,Gabriel Mihuleac,Romania,9,2026-08-08,2025-03-03,3.44,0.11,36.67,23.11,30.44,1.78,1.78,0.0,152,Liga I,gabriel mihuleac,240
787239,Gael Angoula,France,50,2026-08-22,2023-01-28,3.04,0.2,34.4,21.74,40.06,1.1,2.14,0.0,34|182,Ligue 1|Ligue 2,gael angoula,240
84312,Gavin Ward,England,50,2026-08-29,2024-09-21,3.4,0.16,37.2,21.2,43.28,0.84,2.72,0.0,18|24|25,Championship|League One|League Two,gavin ward,240
788579,Geoffrey Kubler,French Guiana,37,2026-08-29,2024-08-16,3.92,0.22,43.51,24.92,36.69,1.16,2.97,0.0,182,Ligue 2,geoffrey kubler,240
